task   id   group   session   trial   condition   trialxcondition   perceived_liking   perceived_familiarity   perceived_intensity
hedonicreactivity   102   control   second   26    Empty   13   7.060440e+01   9.175824e+01   2.994505e+01
hedonicreactivity   102   control   second   27    MilkShake   14   5.384615e+01   9.175824e+01   6.428571e+01
hedonicreactivity   102   control   second   28    Empty   14   7.637363e+01   9.175824e+01   2.280220e+01
hedonicreactivity   102   control   second   29    Empty   15   7.692308e+01   9.175824e+01   3.489011e+01
hedonicreactivity   102   control   second   30    MilkShake   15   3.516484e+01   9.175824e+01   8.269231e+01
hedonicreactivity   102   control   second   31    Empty   16   7.335165e+01   9.175824e+01   2.060440e+01
hedonicreactivity   102   control   second   32    MilkShake   16   5.467033e+01   9.120879e+01   6.950549e+01
hedonicreactivity   102   control   second   33    Empty   17   75   9.175824e+01   3.049451e+01
hedonicreactivity   102   control   second   34    MilkShake   17   4.313187e+01   9.038462e+01   8.379121e+01
hedonicreactivity   102   control   second   35    Empty   18   7.664835e+01   9.175824e+01   2.637363e+01
hedonicreactivity   102   control   second   36    MilkShake   18   5.741758e+01   9.175824e+01   7.060440e+01
hedonicreactivity   102   control   second   37    Empty   19   7.884615e+01   9.175824e+01   2.280220e+01
hedonicreactivity   102   control   second   38    MilkShake   19   6.208791e+01   9.175824e+01   6.730769e+01
hedonicreactivity   102   control   second   39    MilkShake   20   5.961538e+01   9.175824e+01   6.593407e+01
hedonicreactivity   102   control   second   40    Empty   20   8.406593e+01   9.175824e+01   3.653846e+01
hedonicreactivity   105   control   second   1    Empty   1   6.291209e+01   50   5.357143e+01
hedonicreactivity   105   control   second   2    MilkShake   1   6.620879e+01   7.307692e+01   4.395604e+01
hedonicreactivity   105   control   second   3    MilkShake   2   8.076923e+01   7.609890e+01   4.340659e+01
hedonicreactivity   105   control   second   4    Empty   2   6.016484e+01   6.510989e+01   4.258242e+01
hedonicreactivity   105   control   second   5    Empty   3   7.417582e+01   7.197802e+01   4.587912e+01
hedonicreactivity   105   control   second   6    MilkShake   3   6.620879e+01   6.483516e+01   6.483516e+01
hedonicreactivity   105   control   second   7    Empty   4   5.851648e+01   4.175824e+01   7.362637e+01
hedonicreactivity   105   control   second   8    MilkShake   4   6.483516e+01   7.280220e+01   5.906593e+01
hedonicreactivity   105   control   second   9    MilkShake   5   5.934066e+01   6.840659e+01   6.071429e+01
hedonicreactivity   105   control   second   10    Empty   5   5.659341e+01   4.697802e+01   7.362637e+01
hedonicreactivity   105   control   second   11    Empty   6   5.631868e+01   4.642857e+01   6.950549e+01
hedonicreactivity   105   control   second   12    MilkShake   6   7.197802e+01   7.417582e+01   7.802198e+01
hedonicreactivity   105   control   second   13    MilkShake   7   7.252747e+01   7.087912e+01   7.527473e+01
hedonicreactivity   105   control   second   14    Empty   7   6.263736e+01   4.340659e+01   7.829670e+01
hedonicreactivity   105   control   second   15    MilkShake   8   7.719780e+01   7.829670e+01   6.373626e+01
hedonicreactivity   105   control   second   16    Empty   8   6.263736e+01   4.093407e+01   7.692308e+01
hedonicreactivity   105   control   second   17    MilkShake   9   5.961538e+01   5.357143e+01   6.703297e+01
hedonicreactivity   105   control   second   18    Empty   9   5.741758e+01   4.560440e+01   6.813187e+01
hedonicreactivity   105   control   second   19    MilkShake   10   7.609890e+01   8.571429e+01   7.005495e+01
hedonicreactivity   105   control   second   20    Empty   10   5.604396e+01   4.725275e+01   6.538462e+01
hedonicreactivity   105   control   second   21    MilkShake   11   6.648352e+01   7.582418e+01   6.950549e+01
hedonicreactivity   105   control   second   22    Empty   11   5.714286e+01   4.670330e+01   6.785714e+01
hedonicreactivity   105   control   second   23    Empty   12   5.467033e+01   4.642857e+01   6.043956e+01
hedonicreactivity   105   control   second   24    MilkShake   12   6.620879e+01   8.131868e+01   7.472527e+01
hedonicreactivity   105   control   second   25    Empty   13   6.648352e+01   5.219780e+01   5.631868e+01
hedonicreactivity   105   control   second   26    MilkShake   13   8.461538e+01   8.708791e+01   7.637363e+01
hedonicreactivity   105   control   second   27    MilkShake   14   8.708791e+01   8.379121e+01   7.472527e+01
hedonicreactivity   105   control   second   28    Empty   14   5.686813e+01   4.780220e+01   5.247253e+01
hedonicreactivity   105   control   second   29    Empty   15   5.274725e+01   3.928571e+01   6.813187e+01
hedonicreactivity   105   control   second   30    MilkShake   15   7.115385e+01   7.005495e+01   6.016484e+01
hedonicreactivity   105   control   second   31    Empty   16   5.384615e+01   4.670330e+01   6.153846e+01
